"","wave","tax.compliance","tax.compliance.1","compliance.binary","trust.president","trust.parl","education","female","urban","LPI","age","demo.satisfaction","compulsory.tax","tax.evasion","employed","corrupt.officials","serv.index","COUNTRY"
"30","wave7",4,1,1,3,1,2,1,1,0.5,38,0.75,0,0,0,NA,0.9,"Benin"
"31","wave7",4,1,1,2,1,8,1,1,2.5,28,0.75,0.75,0.67,0,0.67,0.9,"Benin"
"32","wave7",0,0,0,3,3,0,0,0,2,35,0.25,1,0.33,0,NA,NA,"Benin"
"33","wave7",4,1,1,2,2,2,1,0,3.25,42,0.5,0.25,0.67,0,0.67,NA,"Benin"
"34","wave7",4,1,1,2,2,4,0,1,1,34,0.75,0.75,1,1,0.33,0.8,"Benin"
"35","wave7",4,1,1,1,1,4,0,0,0.25,66,0.75,0,0,0,1,NA,"Benin"
"36","wave7",4,1,1,1,1,2,0,0,2.5,40,0.75,0.75,0.67,1,0.33,NA,"Benin"
"37","wave7",4,1,1,NA,NA,0,1,1,0.75,27,0.75,0,0,0,1,NA,"Benin"
"38","wave7",NA,NA,NA,1,1,4,1,0,1,20,0.75,0.25,0.33,1,NA,0.6,"Benin"
"39","wave7",4,1,1,NA,NA,2,1,1,2,21,0.25,0.75,1,1,1,0.6,"Benin"
"40","wave7",4,1,1,1,1,7,0,1,0,25,0.25,0.75,0,0,1,0.6,"Benin"
"41","wave7",3,0.75,0,2,2,4,0,1,0,22,0.5,0.75,0.67,0,0.33,0.6,"Benin"
"42","wave7",4,1,1,0,0,4,0,0,2.25,20,0.25,0.75,1,0,0.67,0.6,"Benin"
"43","wave7",4,1,1,1,1,3,0,1,1,46,0.75,1,0,0,0.67,NA,"Benin"
"44","wave7",4,1,1,2,2,8,0,1,0,35,0.75,0.5,1,1,0.33,NA,"Benin"
"45","wave7",3,0.75,0,1,3,2,1,1,1.5,52,0.5,0,0.33,0,0.67,NA,"Benin"
"46","wave7",4,1,1,2,2,8,1,1,1,27,0.5,1,1,0,NA,0.6,"Benin"
"47","wave7",4,1,1,3,1,2,0,1,1,26,0.5,0.25,0.67,1,0.67,NA,"Benin"
"48","wave7",4,1,1,0,0,0,1,0,3.25,69,0.75,NA,NA,0,NA,0.3,"Benin"
"49","wave7",4,1,1,2,1,2,0,0,3.25,26,0.75,0.25,0.67,1,0.33,0.3,"Benin"
"50","wave7",3,0.75,0,1,1,0,1,0,2.75,23,0.5,0.25,1,0,0.33,0.3,"Benin"
"51","wave7",4,1,1,2,0,5,1,1,2.75,25,0.5,0.25,0,0,0.67,0.7,"Benin"
"52","wave7",4,1,1,2,3,8,1,1,0.5,32,0.75,0.25,1,1,1,0.7,"Benin"
"53","wave7",NA,NA,NA,0,3,2,0,0,1.25,NA,0.75,0.25,1,0,0.33,0.3,"Benin"
"54","wave7",4,1,1,1,1,8,0,0,2,31,0.25,0.75,0,1,1,0.6,"Benin"
"55","wave7",4,1,1,2,2,4,0,1,1,33,0.5,0.25,0.33,1,0.67,0.6,"Benin"
"56","wave7",4,1,1,3,2,2,1,1,1,24,0.5,0.25,0,0,0.33,0.6,"Benin"
"57","wave7",4,1,1,2,0,8,0,1,1.25,52,0.5,0.75,0,1,0.67,0.6,"Benin"
"58","wave7",4,1,1,3,1,4,1,0,2.75,20,0.25,0.25,1,0,0.67,0.6,"Benin"
"59","wave7",4,1,1,2,2,0,1,1,0.75,65,0.25,0.75,0,0,0.33,0.6,"Benin"
"60","wave7",4,1,1,3,3,0,0,0,1.5,50,1,0.75,0,0,0.33,0.4,"Benin"
"61","wave7",3,0.75,0,3,3,2,1,0,0.5,26,0.75,0.25,NA,0,0.67,0.4,"Benin"
"62","wave7",4,1,1,1,1,0,1,1,2,45,0.5,0,0.67,0,0.33,NA,"Benin"
"63","wave7",0,0,0,3,3,0,1,0,0.75,28,0.75,0.75,1,1,0.33,0.4,"Benin"
"64","wave7",4,1,1,3,3,2,0,0,0.5,45,1,1,1,1,0.33,0.4,"Benin"
"65","wave7",1,0.25,0,0,0,4,1,0,2.25,38,0.75,0,0.33,0,1,0.6,"Benin"
"66","wave7",4,1,1,3,3,2,0,1,0.75,23,0.5,0.25,0,0,0.33,NA,"Benin"
"67","wave7",4,1,1,1,1,0,1,0,2.5,48,0.5,0.25,0.33,1,0.67,0.3,"Benin"
"68","wave7",4,1,1,1,1,0,0,0,2.25,75,0.5,0.25,0.33,1,0.33,0.3,"Benin"
"69","wave7",0,0,0,1,1,4,1,1,1.5,42,0.75,1,1,0,0.33,0.7,"Benin"
"70","wave7",2,0.5,0,0,1,5,1,1,0,30,0.5,0.75,0.67,0,1,0.7,"Benin"
"71","wave7",3,0.75,0,0,0,0,1,1,3.25,19,0.25,1,0.67,1,0.67,NA,"Benin"
"72","wave7",4,1,1,0,1,5,0,1,0.75,25,0.75,0.25,0,1,0.33,0.7,"Benin"
"73","wave7",4,1,1,2,1,0,0,1,2,18,0.75,0,0.67,0,NA,NA,"Benin"
"74","wave7",4,1,1,1,3,2,0,0,0.75,45,0.5,0.25,0.67,1,0.33,0.3,"Benin"
"75","wave7",4,1,1,1,1,3,0,0,2.25,42,0.75,0.75,1,0,0.67,0.6,"Benin"
"76","wave7",4,1,1,3,1,0,0,1,2,60,0.75,0.25,0,0,1,0.2,"Benin"
"77","wave7",3,0.75,0,3,3,3,0,1,2.75,75,1,1,0.33,0,0.33,0.2,"Benin"
"78","wave7",4,1,1,2,2,0,1,0,1.25,33,0.5,0.25,0,1,0.33,0.8,"Benin"
"79","wave7",4,1,1,3,3,0,1,1,4.5,23,0.25,0.25,0.33,0,0.33,0.2,"Benin"
"80","wave7",4,1,1,3,3,0,0,0,0.5,43,1,1,0,0,1,0.8,"Benin"
"81","wave7",3,0.75,0,2,2,0,0,1,2.5,70,0.75,0.75,0.67,0,NA,0.7,"Benin"
"82","wave7",4,1,1,0,0,0,0,1,2.5,42,NA,0.75,0,0,0.67,0.2,"Benin"
"83","wave7",4,1,1,3,3,0,1,0,2,55,0.5,0,0,0,0.33,0.8,"Benin"
"84","wave7",4,1,1,3,2,NA,0,0,2.75,30,0.75,0.75,0.67,0,NA,0.6,"Benin"
"85","wave7",4,1,1,1,2,0,1,0,0,55,0.5,0.25,1,1,0.33,0.6,"Benin"
"86","wave7",3,0.75,0,0,3,4,1,0,3.5,23,0.25,0.25,0,0,0.67,0.3,"Benin"
"87","wave7",3,0.75,0,2,2,2,0,1,0.25,25,0.75,1,0.67,1,1,0.7,"Benin"
"88","wave7",4,1,1,2,2,0,1,0,2.25,35,1,1,0,0,0.33,NA,"Benin"
"89","wave7",3,0.75,0,0,0,2,1,0,3,25,0.75,0,0,0,0.67,NA,"Benin"
"90","wave7",4,1,1,0,2,4,1,0,1,18,0.75,1,0.67,0,0.33,0.4,"Benin"
"91","wave7",4,1,1,3,3,4,0,0,2.5,23,0.5,0,1,0,0.67,NA,"Benin"
"92","wave7",4,1,1,3,3,0,1,0,2.25,20,0.25,0.75,NA,0,0.33,NA,"Benin"
"93","wave7",4,1,1,3,3,4,0,0,1.5,33,0.75,1,1,1,0,0.6,"Benin"
"94","wave7",NA,NA,NA,0,0,NA,1,1,2.75,45,0.25,NA,NA,NA,1,0.5,"Benin"
"95","wave7",3,0.75,0,3,3,0,0,0,0.5,30,0.75,0.25,0.33,0,0,0.4,"Benin"
"96","wave7",3,0.75,0,1,2,0,1,0,3.5,23,0.25,1,1,0,0.67,0.2,"Benin"
"97","wave7",4,1,1,2,3,4,0,1,1.5,31,0.5,0.75,0.67,1,0.33,0.5,"Benin"
"98","wave7",4,1,1,0,2,4,0,0,2,19,0.25,0,0.67,0,0.67,0.8,"Benin"
"99","wave7",4,1,1,3,2,4,0,1,3.5,41,0.5,0.75,0.67,0,0,0.5,"Benin"
"100","wave7",3,0.75,0,3,3,2,0,1,3,35,0.5,0.25,0,0,0.33,0.5,"Benin"
"101","wave7",3,0.75,0,2,3,2,1,0,2.5,37,0.75,1,0,1,1,0.4,"Benin"
"102","wave7",3,0.75,0,2,2,7,0,0,2.5,22,0.75,1,1,0,0.33,0.2,"Benin"
"103","wave7",3,0.75,0,1,1,0,1,0,1.75,53,1,1,0.67,0,NA,0.2,"Benin"
"104","wave7",4,1,1,1,3,0,0,0,1,25,0.25,0.75,1,1,0.33,0.4,"Benin"
"105","wave7",4,1,1,1,1,8,0,1,0.25,33,0.5,0.75,1,1,0.33,0.7,"Benin"
"106","wave7",NA,NA,NA,1,2,2,0,1,1.25,21,0.5,0.75,1,1,0.33,NA,"Benin"
"107","wave7",4,1,1,3,3,2,0,0,2.75,22,1,0,1,0,0.67,0.2,"Benin"
"108","wave7",3,0.75,0,3,3,2,0,1,1,28,0.75,0.25,0.33,0,0.33,0.9,"Benin"
"109","wave7",4,1,1,2,2,0,1,1,3.25,60,1,0.75,1,0,1,NA,"Benin"
"110","wave7",4,1,1,0,3,0,0,1,2.75,50,0.5,0.25,0,0,NA,NA,"Benin"
"111","wave7",3,0.75,0,3,3,2,0,1,0.75,30,0.75,1,0.67,0,0.33,NA,"Benin"
"112","wave7",1,0.25,0,3,1,2,1,0,1.5,19,0.75,0.75,0,0,0.33,0.8,"Benin"
"113","wave7",4,1,1,1,1,2,1,1,3,23,0.75,0,0.67,0,0.67,0.2,"Benin"
"114","wave7",4,1,1,3,3,2,0,1,2.25,30,0.5,0.25,0.33,0,1,NA,"Benin"
"115","wave7",4,1,1,0,1,0,1,1,2,26,0.75,0.25,0,0,0.33,0.5,"Benin"
"116","wave7",NA,NA,NA,2,2,2,1,1,2.75,35,0.5,0,0.67,0,NA,0.2,"Benin"
"117","wave7",4,1,1,2,0,NA,0,1,1.75,26,0.75,1,0.67,0,0.67,0.9,"Benin"
"118","wave7",4,1,1,2,1,0,0,0,3.5,38,0.75,1,NA,0,1,NA,"Benin"
"119","wave7",4,1,1,0,0,4,1,1,2.5,30,0.75,0.75,0.33,0,0.33,0.5,"Benin"
"120","wave7",4,1,1,3,3,4,0,1,0.25,34,0.75,0,0.33,1,NA,NA,"Benin"
"121","wave7",NA,NA,NA,0,1,2,1,1,3.25,47,0.75,1,1,0,0.33,0.9,"Benin"
"122","wave7",3,0.75,0,3,1,4,1,1,0.25,23,0.5,0.25,0,0,0.33,0.9,"Benin"
"123","wave7",4,1,1,0,0,0,0,1,4.25,48,1,0.25,0,0,1,0.5,"Benin"
"124","wave7",3,0.75,0,1,1,2,1,1,0.75,25,0.5,0,0.67,0,0.33,0.2,"Benin"
"125","wave7",4,1,1,3,3,0,1,1,2.75,30,0.25,0.75,0,0,NA,NA,"Benin"
"126","wave7",4,1,1,2,3,4,0,0,2.25,35,0.75,1,0.33,0,1,NA,"Benin"
"127","wave7",4,1,1,0,0,8,1,0,2.5,21,0.25,1,0.33,0,1,0.8,"Benin"
"128","wave7",4,1,1,2,2,4,0,1,1,53,0.5,1,0.67,0,0.33,NA,"Benin"
"129","wave7",3,0.75,0,0,0,2,1,1,0.5,20,0.25,1,1,0,0.67,NA,"Benin"
"130","wave7",4,1,1,2,0,0,0,0,3.25,35,0.75,0.25,0,0,0.33,NA,"Benin"
"131","wave7",4,1,1,1,1,4,1,1,2,46,0.75,1,1,1,NA,NA,"Benin"
"132","wave7",4,1,1,2,2,4,0,1,1.5,20,0.5,1,0,0,0.67,NA,"Benin"
"133","wave7",4,1,1,1,1,0,0,1,4,21,0.25,0,0,1,1,0.2,"Benin"
"134","wave7",4,1,1,3,3,0,1,0,2.25,62,0.25,0.25,0.67,0,0,NA,"Benin"
"135","wave7",3,0.75,0,2,2,0,1,1,5,18,0.5,0.25,0.67,0,0.33,0.5,"Benin"
"136","wave7",2,0.5,0,1,0,4,0,1,3.75,25,1,0.75,1,0,1,NA,"Benin"
"137","wave7",4,1,1,2,2,4,0,0,0.5,18,0.5,0.75,0.67,0,0.33,0.8,"Benin"
"138","wave7",4,1,1,1,1,0,1,1,2,50,0.25,0.75,0,0,0.67,NA,"Benin"
"139","wave7",3,0.75,0,2,2,0,1,0,2.5,31,0.5,1,0,0,1,0.2,"Benin"
"140","wave7",4,1,1,3,2,0,1,1,1.75,60,0.25,0.25,0.67,0,0.67,NA,"Benin"
"141","wave7",4,1,1,1,0,4,0,0,2,25,0.5,1,0.67,0,0.33,0.2,"Benin"
"142","wave7",4,1,1,0,0,0,1,1,3,42,0.25,0.5,1,0,NA,NA,"Benin"
"143","wave7",4,1,1,1,1,5,1,1,2.5,21,0.5,0.75,1,0,0.67,NA,"Benin"
"144","wave7",4,1,1,1,1,3,0,0,1.75,27,0.75,0.75,0.67,1,0.33,0.8,"Benin"
"145","wave7",4,1,1,1,1,2,0,1,2.25,47,0.5,1,1,1,0.33,NA,"Benin"
"146","wave7",3,0.75,0,0,0,0,0,1,2.25,23,0.5,0.25,0,0,NA,NA,"Benin"
"147","wave7",4,1,1,1,0,1,1,1,1.25,45,0.25,0.5,0,0,1,NA,"Benin"
"148","wave7",4,1,1,2,1,4,0,0,1.75,25,0.5,0.25,0.67,0,0.67,0.6,"Benin"
"149","wave7",3,0.75,0,2,0,4,1,0,2,28,0.5,1,0.67,1,0.67,0.6,"Benin"
"150","wave7",1,0.25,0,2,2,8,0,1,1.75,33,0.75,1,0,0,0.33,0.9,"Benin"
"151","wave7",3,0.75,0,2,2,2,1,1,0.5,42,0.75,0.75,0,0,0.67,0.9,"Benin"
"152","wave7",4,1,1,3,3,4,1,1,3.5,19,0.75,0.75,0,0,0.33,0.9,"Benin"
"153","wave7",1,0.25,0,1,1,0,1,1,4.25,28,0.5,0.75,0.67,1,0.33,NA,"Benin"
"154","wave7",4,1,1,2,2,7,0,0,2.75,20,0.5,0.75,0.67,1,0.33,0.9,"Benin"
"155","wave7",4,1,1,1,0,2,0,1,2.5,33,0.25,0.25,0.67,0,0.33,0.9,"Benin"
"156","wave7",4,1,1,3,3,0,1,0,1.5,60,0.25,0,0.33,0,0.33,0.9,"Benin"
"157","wave7",4,1,1,1,1,3,1,1,0.75,40,0.75,0.75,0.33,0,0.33,NA,"Benin"
"158","wave7",4,1,1,2,2,2,0,1,3.25,41,0.75,0.25,0,1,0.33,0.6,"Benin"
"159","wave7",4,1,1,1,2,4,0,1,1,20,0.5,0.75,0.67,1,0.33,0.6,"Benin"
"160","wave7",3,0.75,0,0,0,5,1,1,1.25,23,0.25,0.75,1,1,1,NA,"Benin"
"161","wave7",4,1,1,1,2,5,1,1,1.5,22,0.25,0.75,0,0,0.67,0.6,"Benin"
"162","wave7",4,1,1,2,1,0,1,0,2,18,0.75,0.25,0.33,1,0.33,0.9,"Benin"
"163","wave7",3,0.75,0,1,2,4,1,1,2.75,65,0.5,0.75,0.67,0,0.67,NA,"Benin"
"164","wave7",4,1,1,3,3,0,0,1,1.5,22,0.5,0.75,0,0,0.33,0.6,"Benin"
"165","wave7",4,1,1,3,3,0,1,0,0,50,1,1,1,0,1,0.1,"Benin"
"166","wave7",3,0.75,0,0,0,0,1,1,2.75,35,0.5,0.25,0.67,1,0.33,0.8,"Benin"
"167","wave7",4,1,1,2,2,4,1,1,2.75,27,1,0.75,0,0,1,NA,"Benin"
"168","wave7",4,1,1,0,1,0,1,1,0.5,79,0.5,0,1,0,0,NA,"Benin"
"169","wave7",4,1,1,0,0,0,0,1,3.25,65,0.75,0.25,0.33,0,0.67,0.8,"Benin"
"170","wave7",4,1,1,2,2,0,1,1,0,30,0.75,0.75,0,0,0.67,NA,"Benin"
"171","wave7",0,0,0,0,0,4,1,1,3.25,21,0.5,0,0.67,0,NA,0.8,"Benin"
"172","wave7",0,0,0,3,3,4,0,0,2,28,0.25,1,1,1,0,0.1,"Benin"
"173","wave7",3,0.75,0,2,2,0,1,0,2.5,40,0.5,0.75,0.33,0,0,0.1,"Benin"
"174","wave7",3,0.75,0,3,3,2,0,1,1.5,26,1,0,0,1,0.33,NA,"Benin"
"175","wave7",4,1,1,3,3,0,0,0,1,25,1,0.75,0.67,0,0.67,0.1,"Benin"
"176","wave7",4,1,1,0,0,2,1,0,2.25,38,0.75,0.75,1,1,0.67,0.6,"Benin"
"177","wave7",4,1,1,3,3,0,1,0,1,28,1,0.75,0.67,1,0.67,0.6,"Benin"
"178","wave7",3,0.75,0,1,1,4,0,0,2.25,18,0.75,0.75,0,0,0.67,0.6,"Benin"
"179","wave7",0,0,0,0,0,7,0,1,0.5,23,0.25,0,0,0,0.33,NA,"Benin"
"180","wave7",4,1,1,1,0,7,0,1,1.5,22,0.5,0.75,0,1,1,0.6,"Benin"
"181","wave7",4,1,1,1,1,8,0,1,0.5,30,0.5,1,0.33,1,1,NA,"Benin"
"182","wave7",4,1,1,0,1,8,0,1,1,34,0.5,0.75,1,1,0.67,NA,"Benin"
"183","wave7",4,1,1,3,3,2,1,0,2,23,0.75,0.75,0,0,0,NA,"Benin"
"184","wave7",3,0.75,0,NA,NA,2,1,0,3.75,41,0.75,NA,0.33,0,0.33,0.2,"Benin"
"185","wave7",4,1,1,0,0,2,1,0,0.5,21,0.5,0.75,0.67,0,0.67,NA,"Benin"
"186","wave7",3,0.75,0,1,1,8,0,1,0.75,29,0.75,1,1,1,0.33,NA,"Benin"
"187","wave7",3,0.75,0,2,2,0,1,1,5,30,0.75,0.75,0.67,0,0.33,0.6,"Benin"
"188","wave7",4,1,1,1,1,0,0,0,2.25,25,1,0.5,0.67,0,0.67,NA,"Benin"
"189","wave7",4,1,1,1,2,5,0,1,0,23,0.75,0.25,0.33,1,1,1,"Benin"
"190","wave7",4,1,1,0,1,4,0,1,0.5,20,0.5,0.75,0,0,0.67,0.8,"Benin"
"191","wave7",3,0.75,0,3,3,2,0,0,2.5,40,0.25,1,0.33,0,0.33,0.2,"Benin"
"192","wave7",4,1,1,3,3,0,1,0,3,35,0.25,1,0,0,0.33,NA,"Benin"
"193","wave7",1,0.25,0,2,2,2,1,0,1,47,1,1,0.67,0,0.33,0.1,"Benin"
"194","wave7",4,1,1,0,0,0,0,0,1.75,24,NA,0.75,0.67,0,0.67,0.2,"Benin"
"195","wave7",4,1,1,3,NA,0,1,0,1.75,44,0.25,0.25,0.33,0,0.33,0.2,"Benin"
"196","wave7",4,1,1,1,1,2,0,1,1,36,0.75,0.25,1,0,0.67,NA,"Benin"
"197","wave7",NA,NA,NA,2,2,0,0,0,3,56,0.75,0.75,0,0,0.67,0.2,"Benin"
"198","wave7",3,0.75,0,1,1,0,1,0,3,25,1,1,0.33,0,0.33,0.9,"Benin"
"199","wave7",3,0.75,0,2,2,2,1,1,2,42,0.5,0.25,0.33,0,0.33,0.6,"Benin"
"200","wave7",4,1,1,0,2,2,0,0,1.5,40,0.5,0.25,0.33,0,1,0.1,"Benin"
"201","wave7",4,1,1,0,0,2,0,1,2.75,41,0.5,1,0,1,0.33,0.8,"Benin"
"202","wave7",4,1,1,3,3,0,0,0,2.5,30,1,0.75,0,1,0,0.1,"Benin"
"203","wave7",4,1,1,3,1,2,1,1,2,35,0.75,0.25,0.67,0,0.33,0.6,"Benin"
"204","wave7",2,0.5,0,2,2,0,0,1,3.25,35,0.5,0.75,0.67,0,0.67,NA,"Benin"
"205","wave7",4,1,1,3,3,0,0,0,2.25,50,0.75,0,0.67,0,1,0.1,"Benin"
"206","wave7",4,1,1,3,3,0,1,0,2.25,52,0.75,0.75,0.67,0,0.33,0.1,"Benin"
"207","wave7",3,0.75,0,1,1,2,1,1,2.25,33,0.5,0.25,0.33,0,0.33,NA,"Benin"
"208","wave7",4,1,1,3,2,3,0,1,2,39,1,0.25,1,0,0.33,NA,"Benin"
"209","wave7",4,1,1,2,1,0,0,0,1.75,20,0.25,0.25,0.67,0,1,NA,"Benin"
"210","wave7",2,0.5,0,1,1,4,0,1,1.25,52,0.5,1,1,0,1,NA,"Benin"
"211","wave7",3,0.75,0,2,NA,0,1,0,4.75,50,0.5,0.25,0,0,1,NA,"Benin"
"212","wave7",4,1,1,2,2,4,1,1,1,54,0.5,0.25,1,0,0.33,NA,"Benin"
"213","wave7",4,1,1,0,0,0,1,0,3.25,27,0.25,0,0,0,0.33,0.1,"Benin"
"214","wave7",3,0.75,0,2,2,0,0,0,3.25,21,0.75,0.75,0.33,0,0.33,0.1,"Benin"
"215","wave7",4,1,1,0,3,4,1,0,3,18,0.75,1,0.67,0,0.33,0.1,"Benin"
"216","wave7",1,0.25,0,0,1,2,1,0,3.5,55,0.5,0.75,0.33,0,1,0.9,"Benin"
"217","wave7",4,1,1,2,2,0,1,1,2.25,54,1,1,1,1,0.33,NA,"Benin"
"218","wave7",4,1,1,3,3,0,0,0,2.75,30,1,0.75,0.67,0,1,NA,"Benin"
"219","wave7",4,1,1,0,0,4,1,1,3.25,30,0.25,0.25,0.33,1,1,0.8,"Benin"
"220","wave7",4,1,1,1,1,0,0,0,1.25,32,0.75,0.75,0,0,0.67,NA,"Benin"
"221","wave7",4,1,1,2,2,4,1,1,1.5,25,1,0,1,0,0.67,1,"Benin"
"222","wave7",4,1,1,3,3,4,0,0,2.75,55,0.75,1,0.33,0,0.33,NA,"Benin"
"223","wave7",4,1,1,3,3,2,1,0,2,19,0.5,1,0,0,0.33,NA,"Benin"
"224","wave7",4,1,1,3,3,2,0,0,2.25,66,0.75,1,0.67,0,0.33,NA,"Benin"
"225","wave7",4,1,1,0,0,0,0,0,0.5,30,0.25,0.25,1,1,1,0.6,"Benin"
"226","wave7",4,1,1,2,3,3,0,0,1.5,20,1,0.25,0.33,0,0.33,0.6,"Benin"
"227","wave7",4,1,1,3,3,0,0,0,3.75,35,0.75,1,0,0,0.33,NA,"Benin"
"228","wave7",3,0.75,0,3,0,0,1,0,3.75,40,0.25,0,1,0,1,0.2,"Benin"
"229","wave7",4,1,1,1,1,2,0,0,1.25,44,0.75,0.75,0,1,0.33,0.9,"Benin"
"230","wave7",3,0.75,0,1,1,0,0,0,4.75,20,1,0.25,0.33,0,0.33,NA,"Benin"
"231","wave7",4,1,1,1,0,8,0,1,0,59,0.75,0.5,0,0,0.67,0.8,"Benin"
"232","wave7",4,1,1,3,3,2,0,0,2.5,50,1,0,0.67,0,0.33,0.1,"Benin"
"233","wave7",4,1,1,1,3,4,0,0,1.5,45,0.5,0.75,0,1,0.33,0.9,"Benin"
"234","wave7",3,0.75,0,3,3,0,1,1,1,77,0.5,0.75,0.33,0,0.33,NA,"Benin"
"235","wave7",4,1,1,0,0,4,1,0,2,18,0.25,1,1,0,0,0.2,"Benin"
"236","wave7",4,1,1,1,1,2,0,0,3,60,0.25,0,0.67,0,1,0.2,"Benin"
"237","wave7",4,1,1,1,1,0,0,0,1.75,29,0.5,1,0.67,0,0.33,0.1,"Benin"
"238","wave7",4,1,1,1,2,4,1,1,0.25,26,0.5,0.25,0,0,0.33,0.8,"Benin"
"239","wave7",4,1,1,1,2,0,1,0,3.25,30,0.5,1,0.67,0,0.67,NA,"Benin"
"240","wave7",3,0.75,0,2,2,3,1,1,2.75,71,0.75,0.75,0.67,0,0.33,0.8,"Benin"
"241","wave7",4,1,1,3,3,0,1,0,1.75,24,1,0.75,1,0,0,NA,"Benin"
"242","wave7",NA,NA,NA,1,1,0,1,1,2.5,64,0.75,0.75,0.33,0,0.33,0.8,"Benin"
"243","wave7",2,0.5,0,2,2,3,1,1,1.75,66,0.5,0.25,0,0,0.33,0.8,"Benin"
"244","wave7",3,0.75,0,2,1,7,1,1,0.5,20,0.75,0.75,1,0,0.33,0.8,"Benin"
"245","wave7",4,1,1,3,1,0,1,0,0.75,51,0.75,0.75,0,0,0.33,NA,"Benin"
"246","wave7",4,1,1,0,0,0,1,0,1.75,40,0.5,0.25,0.33,0,1,0.1,"Benin"
"247","wave7",3,0.75,0,3,3,0,1,0,1,25,1,0,0,0,0.67,0.1,"Benin"
"248","wave7",4,1,1,3,3,3,0,0,2.5,60,0.5,1,0,0,0.33,0.2,"Benin"
"249","wave7",4,1,1,1,3,4,0,1,1.5,22,0.75,0.75,0.67,0,0.33,NA,"Benin"
"250","wave7",3,0.75,0,0,0,5,1,0,3,25,0.5,0.75,0,0,1,0.2,"Benin"
"251","wave7",4,1,1,0,1,7,1,1,1.5,19,0.5,0.25,0.67,0,0.33,NA,"Benin"
"252","wave7",4,1,1,0,0,2,1,1,2,36,0.75,0.25,0,1,1,0.9,"Benin"
"253","wave7",4,1,1,3,2,2,1,1,2.5,28,0.25,0.75,0,0,0.33,0.9,"Benin"
"254","wave7",0,0,0,0,0,4,0,1,2,47,0.25,0.75,0.67,1,1,0.8,"Benin"
"255","wave7",3,0.75,0,2,1,0,0,1,2.5,27,0.5,0.75,0.67,0,0.33,0.8,"Benin"
